Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
SPD,Töns,Markus,1964,Wahlkreis,Gelsenkirchen,TRUE,TönsM1964
SPD,Türk-Nachbaur,Derya,1973,Liste,Baden-Württemberg,FALSE,Türk-NachbaurD1973
GRÜNE,Uhlig,Katrin Babette,1982,Wahlkreis,Bonn,TRUE,UhligK1982
FDP,Ullmann,Andrew John,1963,Liste,Bayern,TRUE,UllmannA1963
SPD,Ullrich,Frank,1958,Wahlkreis,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,TRUE,UllrichF1958
FDP,Ullrich,Gerald,1962,Liste,Thüringen,TRUE,UllrichG1962
CSU,Ullrich,Volker Michael,1975,Wahlkreis,Augsburg-Stadt,FALSE,UllrichV1975
DIE LINKE,Ulrich,Alexander,1971,Liste,Rheinland-Pfalz,TRUE,UlrichA1971
GRÜNE,Verlinden,Julia Maria Kornelia,1979,Liste,Niedersachsen,TRUE,VerlindenJ1979
CDU,Vieregge,Kerstin,1976,Liste,Nordrhein-Westfalen,FALSE,ViereggeK1976
FDP,Vogel,Johannes,1982,Liste,Nordrhein-Westfalen,TRUE,VogelJ1982
DIE LINKE,Vogler,Kathrin,1963,Liste,Nordrhein-Westfalen,TRUE,VoglerK1963
CDU,Vogt,Oliver,1977,Liste,Nordrhein-Westfalen,FALSE,VogtO1977
CDU,Vries,Christoph Bernhard,1974,Liste,Hamburg,FALSE,VriesC1974
SPD,Völlers,Marja-Liisa,1984,Wahlkreis,Nienburg II – Schaumburg,TRUE,VöllersM1984
SPD,Vöpel,Dirk,1971,Wahlkreis,Oberhausen – Wesel III,TRUE,VöpelD1971
CDU,Wadephul,Johann David,1963,Liste,Schleswig-Holstein,TRUE,WadephulJ1963
GRÜNE,Wagener,Niklas,1998,Liste,Bayern,TRUE,WagenerN1998
GRÜNE,Wagener,Robin Till Nils Johannes,1980,Liste,Nordrhein-Westfalen,TRUE,WagenerR1980
DIE LINKE,Wagenknecht,Sahra,1969,Liste,Nordrhein-Westfalen,TRUE,WagenknechtS1969
SPD,Wagner,Carolin,1982,Liste,Bayern,FALSE,WagnerC1982
GRÜNE,Wagner,Johannes,1991,Liste,Bayern,FALSE,WagnerJ1991
SPD,Wallstein,Maja Scarlett,1986,Wahlkreis,Cottbus – Spree-Neiße,TRUE,WallsteinM1986
SPD,Walter,Hannes Artur Gerhard,1984,Wahlkreis,Elbe-Elster – Oberspreewald-Lausitz II,FALSE,WalterH1984
GRÜNE,Walter-Rosenheimer,Beate,1964,Liste,Bayern,FALSE,Walter-RosenheimerB1964
CDU,Wanderwitz,Marco,1975,Liste,Sachsen,TRUE,WanderwitzM1975
CDU,Warken,Nina Ingrid,1979,Wahlkreis,Odenwald – Tauber,TRUE,WarkenN1979
FDP,Weeser,Sandra,1969,Liste,Rheinland-Pfalz,TRUE,WeeserS1969
SPD,Wegge,Carmen,1989,Liste,Bayern,FALSE,WeggeC1989
SPD,Wegling,Melanie,1990,Wahlkreis,Groß-Gerau,TRUE,WeglingM1990
AfD,Weidel,Alice Elisabeth,1979,Liste,Baden-Württemberg,TRUE,WeidelA1979
SPD,Weingarten,Joe,1962,Wahlkreis,Kreuznach,TRUE,WeingartenJ1962
CSU,Weisgerber,Anja,1976,Wahlkreis,Schweinfurt,TRUE,WeisgerberA1976
GRÜNE,Weishaupt,Saskia Lea Raquel,1993,Liste,Bayern,TRUE,WeishauptS1993
CDU,Weiss,Maria-Lena,1981,Wahlkreis,Rottweil – Tuttlingen,TRUE,WeissM1981
CDU,Weiss,Sabine Katharina,1958,Liste,Nordrhein-Westfalen,FALSE,WeissS1958
GRÜNE,Wenzel,Peer Stefan,1962,Liste,Niedersachsen,TRUE,WenzelP1962
SPD,Werner,Lena,1994,Liste,Rheinland-Pfalz,FALSE,WernerL1994
FDP,Westig,Nicole,1967,Liste,Nordrhein-Westfalen,TRUE,WestigN1967
