Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
SPD,Kofler,Bärbel,1967,Liste,Bayern,TRUE,KoflerB1967
AfD,Komning,Enrico,1968,Liste,Mecklenburg-Vorpommern,TRUE,KomningE1968
FDP,Konrad,Carina,1982,Liste,Rheinland-Pfalz,TRUE,KonradC1982
CDU,Koob,Markus Benjamin,1977,Wahlkreis,Hochtaunus,TRUE,KoobM1977
GRÜNE,Kopf,Chantal Johanna Siglinde,1995,Wahlkreis,Freiburg,TRUE,KopfC1995
DIE LINKE,Korte,Jan,1977,Liste,Sachsen-Anhalt,TRUE,KorteJ1977
AfD,Kotré,Steffen,1971,Liste,Brandenburg,TRUE,KotréS1971
SPD,Koß,Simona,1961,Wahlkreis,Märkisch-Oderland – Barnim II,FALSE,KoßS1961
GRÜNE,Kraft,Laura Manuela,1990,Liste,Nordrhein-Westfalen,FALSE,KraftL1990
AfD,Kraft,Rainer Detlef,1974,Liste,Bayern,TRUE,KraftR1974
SPD,Kramme,Anette,1967,Liste,Bayern,TRUE,KrammeA1967
CDU,Kramp-Karrenbauer,Annegret,1962,Liste,Saarland,TRUE,Kramp-KarrenbauerA1962
SPD,Kreiser,Dunja Eleonore Angelika,1971,Wahlkreis,Salzgitter – Wolfenbüttel,TRUE,KreiserD1971
CDU,Krichbaum,Gunther,1964,Wahlkreis,Pforzheim,FALSE,KrichbaumG1964
CDU,Krings,Günter,1969,Wahlkreis,Mönchengladbach,TRUE,KringsG1969
GRÜNE,Krischer,Oliver,1969,Wahlkreis,Aachen I,TRUE,KrischerO1969
FDP,Kruse,Michael,1983,Liste,Hamburg,TRUE,KruseM1983
GRÜNE,Krämer,Philip,1992,Liste,Hessen,TRUE,KrämerP1992
SPD,Kröber,Martin,1992,Wahlkreis,Magdeburg,TRUE,KröberM1992
CDU,Kuban,Tilman Moritz,1987,Liste,Niedersachsen,TRUE,KubanT1987
FDP,Kubicki,Wolfgang,1952,Liste,Schleswig-Holstein,TRUE,KubickiW1952
FDP,Kuhle,Konstantin Elias,1989,Liste,Niedersachsen,TRUE,KuhleK1989
GRÜNE,Kurth,Markus,1966,Liste,Nordrhein-Westfalen,FALSE,KurthM1966
FDP,Köhler,Lukas Otto,1986,Liste,Bayern,TRUE,KöhlerL1986
CDU,König,Anne,1984,Wahlkreis,Borken II,TRUE,KönigA1984
AfD,König,Jörn Harald,1967,Liste,Niedersachsen,TRUE,KönigJ1967
CDU,Körber,Carsten,1979,Liste,Sachsen,FALSE,KörberC1979
GRÜNE,Kühn,Christian,1979,Liste,Baden-Württemberg,TRUE,KühnC1979
SPD,Kühnert,Kevin,1989,Wahlkreis,Berlin-Tempelhof-Schöneberg,TRUE,KühnertK1989
GRÜNE,Künast,Renate Elly,1955,Liste,Berlin,TRUE,KünastR1955
SPD,Lahrkamp,Sarah,1981,Liste,Nordrhein-Westfalen,FALSE,LahrkampS1981
GRÜNE,Lang,Ricarda,1994,Liste,Baden-Württemberg,TRUE,LangR1994
CSU,Lange,Ulrich,1969,Wahlkreis,Donau-Ries,TRUE,LangeU1969
SPD,Larem,Andreas,1964,Wahlkreis,Darmstadt,FALSE,LaremA1964
CDU,Laschet,Armin,1961,Liste,Nordrhein-Westfalen,TRUE,LaschetA1961
DIE LINKE,Latendorf,Ina,1971,Liste,Mecklenburg-Vorpommern,FALSE,LatendorfI1971
CSU,Launert,Silke,1976,Wahlkreis,Bayreuth,TRUE,LaunertS1976
SPD,Lauterbach,Karl Wilhelm,1963,Wahlkreis,Leverkusen – Köln IV,TRUE,LauterbachK1963
DIE LINKE,Lay,Caren Nicole,1972,Liste,Sachsen,FALSE,LayC1972
FDP,Lechte,Ulrich,1977,Liste,Bayern,TRUE,LechteU1977
CDU,Lehmann,Jens,1967,Wahlkreis,Leipzig I,TRUE,LehmannJ1967
GRÜNE,Lehmann,Sven,1979,Wahlkreis,Köln II,TRUE,LehmannS1979
SPD,Lehmann,Sylvia,1954,Wahlkreis,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,FALSE,LehmannS1954
CSU,Lehrieder,Paul Alois,1959,Wahlkreis,Würzburg,TRUE,LehriederP1959
CDU,Leikert,Katja Isabel,1975,Liste,Hessen,FALSE,LeikertK1975
SPD,Leiser,Kevin,1993,Liste,Baden-Württemberg,FALSE,LeiserK1993
GRÜNE,Lemke,Steffi,1968,Liste,Sachsen-Anhalt,TRUE,LemkeS1968
FDP,Lenders,Jürgen,1966,Liste,Hessen,TRUE,LendersJ1966
AfD,Lenk,Barbara,1982,Wahlkreis,Meißen,TRUE,LenkB1982
DIE LINKE,Lenkert,Ralph,1967,Liste,Thüringen,TRUE,LenkertR1967
CSU,Lenz,Andreas,1981,Wahlkreis,Erding – Ebersberg,TRUE,LenzA1981
DIE LINKE,Leye,Christian,1981,Liste,Nordrhein-Westfalen,FALSE,LeyeC1981
SPD,Licina-Bode,Luiza,1972,Liste,Nordrhein-Westfalen,FALSE,Licina-BodeL1972
FDP,Lieb,Thorsten Willibald,1973,Liste,Hessen,TRUE,LiebT1973
GRÜNE,Liebert,Anja,1969,Liste,Nordrhein-Westfalen,FALSE,LiebertA1969
SPD,Limbacher,Esra-Leon Ruben,1989,Wahlkreis,Homburg,TRUE,LimbacherE1989
GRÜNE,Limburg,Helge Stefan,1982,Liste,Niedersachsen,TRUE,LimburgH1982
FDP,Lindemann,Lars,1971,Liste,Berlin,FALSE,LindemannL1971
SPD,Lindh,Helge Frederik,1976,Wahlkreis,Wuppertal I,TRUE,LindhH1976
CSU,Lindholz,Andrea,1970,Wahlkreis,Aschaffenburg,TRUE,LindholzA1970
FDP,Lindner,Christian Wolfgang,1979,Liste,Nordrhein-Westfalen,TRUE,LindnerC1979
GRÜNE,Lindner,Tobias,1982,Liste,Rheinland-Pfalz,TRUE,LindnerT1982
FDP,Link,Michael Georg,1963,Liste,Baden-Württemberg,TRUE,LinkM1963
CDU,Linnemann,Carsten Christoffer,1977,Wahlkreis,Paderborn,TRUE,LinnemannC1977
CDU,Lips,Patricia,1963,Liste,Hessen,TRUE,LipsP1963
GRÜNE,Loop,Denise,1994,Liste,Schleswig-Holstein,FALSE,LoopD1994
CSU,Loos,Bernhard Siegfried,1955,Wahlkreis,München-Nord,FALSE,LoosB1955
AfD,Lucassen,Hans-Rüdiger,1951,Liste,Nordrhein-Westfalen,TRUE,LucassenH1951
GRÜNE,Lucks,Max,1997,Liste,Nordrhein-Westfalen,TRUE,LucksM1997
CDU,Luczak,Jan-Marco,1975,Liste,Berlin,FALSE,LuczakJ1975
CSU,Ludwig,Daniela,1975,Wahlkreis,Rosenheim,TRUE,LudwigD1975
SPD,Lugk,Bettina,1982,Liste,Nordrhein-Westfalen,FALSE,LugkB1982
FDP,Luksic,Oliver,1979,Liste,Saarland,TRUE,LuksicO1979
DIE LINKE,Lutze,Thomas,1969,Liste,Saarland,TRUE,LutzeT1969
DIE LINKE,Lötzsch,Gesine,1961,Wahlkreis,Berlin-Lichtenberg,TRUE,LötzschG1961
GRÜNE,Lührmann,Anna Kristina,1983,Liste,Hessen,TRUE,LührmannA1983
FDP,Lütke,Kristine,1982,Liste,Bayern,FALSE,LütkeK1982
SPD,Maas,Heiko Josef,1966,Wahlkreis,Saarlouis,TRUE,MaasH1966
SPD,Machalet,Tanja,1974,Wahlkreis,Montabaur,TRUE,MachaletT1974
CDU,Mack,Klaus,1973,Wahlkreis,Calw,TRUE,MackK1973
SPD,Mackensen-Geis,Isabel Larissa,1986,Liste,Rheinland-Pfalz,FALSE,Mackensen-GeisI1986
CDU,Magwas,Yvonne,1979,Wahlkreis,Vogtlandkreis,TRUE,MagwasY1979
SPD,Malottki,Erik,1986,Wahlkreis,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,FALSE,MalottkiE1986
SPD,Mann,Holger,1979,Liste,Sachsen,TRUE,MannH1979
FDP,Mansmann,Till Berthold,1968,Liste,Hessen,TRUE,MansmannT1968
SPD,Mansoori,Kaweh,1988,Liste,Hessen,FALSE,MansooriK1988
SPD,Martens,Zanda,1984,Liste,Nordrhein-Westfalen,FALSE,MartensZ1984
SPD,Martin,Dorothee Katja Julia,1978,Wahlkreis,Hamburg-Nord,TRUE,MartinD1978
SPD,Marvi,Parsa,1982,Liste,Baden-Württemberg,TRUE,MarviP1982
SPD,Mascheck,Franziska,1979,Liste,Sachsen,FALSE,MascheckF1979
SPD,Mast,Katja Wilma,1971,Liste,Baden-Württemberg,TRUE,MastK1971
CDU,Mattfeldt,Andreas,1969,Wahlkreis,Osterholz – Verden,TRUE,MattfeldtA1969
CSU,Mayer,Stephan,1973,Wahlkreis,Altötting,TRUE,MayerS1973
GRÜNE,Mayer,Zoe,1995,Wahlkreis,Karlsruhe-Stadt,TRUE,MayerZ1995
CDU,Mayer-Lay,Volker,1981,Wahlkreis,Bodensee,TRUE,Mayer-LayV1981
SPD,Mehltretter,Andreas,1991,Liste,Bayern,TRUE,MehltretterA1991
SPD,Mehmet Ali,Takis,1991,Liste,Baden-Württemberg,FALSE,Mehmet AliT1991
DIE LINKE,Meiser,Pascal,1975,Liste,Berlin,FALSE,MeiserP1975
CDU,Meister,Michael Günther,1961,Wahlkreis,Bergstraße,TRUE,MeisterM1961
GRÜNE,Menge,Patrizia Susanne,1960,Liste,Niedersachsen,FALSE,MengeP1960
FDP,Merten,Anikó,1982,Liste,Niedersachsen,FALSE,MertenA1982
CDU,Merz,Joachim-Friedrich Martin Josef,1955,Wahlkreis,Hochsauerlandkreis,TRUE,MerzJ1955
SPD,Mesarosch,Robin,1991,Liste,Baden-Württemberg,TRUE,MesaroschR1991
CDU,Metzler,Jan,1981,Wahlkreis,Worms,TRUE,MetzlerJ1981
FDP,Meyer,Christoph Werner,1975,Liste,Berlin,TRUE,MeyerC1975
AfD,Miazga,Corinna,1983,Liste,Bayern,TRUE,MiazgaC1983
GRÜNE,Michaelsen,Swantje Henrike,1979,Liste,Niedersachsen,FALSE,MichaelsenS1979
SPD,Michel,Susanne Kathrin,1963,Liste,Sachsen,TRUE,MichelS1963
CDU,Middelberg,Mathias Wolfgang Antonius,1964,Liste,Niedersachsen,TRUE,MiddelbergM1964
SPD,Miersch,Matthias,1968,Wahlkreis,Hannover-Land II,TRUE,MierschM1968
SPD,Mieves,Matthias David,1985,Wahlkreis,Kaiserslautern,TRUE,MievesM1985
GRÜNE,Mihalic,Irene,1976,Liste,Nordrhein-Westfalen,TRUE,MihalicI1976
GRÜNE,Mijatović,Boris,1974,Liste,Hessen,FALSE,MijatovićB1974
SPD,Mittag,Susanne,1958,Wahlkreis,Delmenhorst – Wesermarsch – Oldenburg-Land,TRUE,MittagS1958
DIE LINKE,Mohamed Ali,Amira,1980,Liste,Niedersachsen,TRUE,Mohamed AliA1980
SPD,Mohrs,Falko,1984,Wahlkreis,Helmstedt – Wolfsburg,TRUE,MohrsF1984
SPD,Moll,Claudia,1968,Wahlkreis,Aachen II,TRUE,MollC1968
AfD,Moncsek,Mike,1964,Wahlkreis,Chemnitzer Umland – Erzgebirgskreis II,TRUE,MoncsekM1964
CDU,Monstadt,Dietrich,1957,Liste,Mecklenburg-Vorpommern,TRUE,MonstadtD1957
AfD,Moosdorf,Matthias,1965,Wahlkreis,Zwickau,TRUE,MoosdorfM1965
FDP,Mordhorst,Maximilian,1996,Liste,Schleswig-Holstein,FALSE,MordhorstM1996
DIE LINKE,Möhring,Cornelia,1960,Liste,Schleswig-Holstein,TRUE,MöhringC1960
SPD,Möller,Siemtje Victoria Regine Ilse Santjer,1983,Wahlkreis,Friesland – Wilhelmshaven – Wittmund,TRUE,MöllerS1983
CDU,Mörseburg,Maximilian Rick,1992,Wahlkreis,Stuttgart II,FALSE,MörseburgM1992
FDP,Müller,Alexander,1969,Liste,Hessen,TRUE,MüllerA1969
CDU,Müller,Axel Karl,1963,Wahlkreis,Ravensburg,TRUE,MüllerA1963
SPD,Müller,Bettina,1959,Wahlkreis,Main-Kinzig – Wetterau II – Schotten,TRUE,MüllerB1959
CDU,Müller,Carsten,1970,Liste,Niedersachsen,FALSE,MüllerC1970
GRÜNE,Müller,Claudia Heike,1981,Liste,Mecklenburg-Vorpommern,TRUE,MüllerC1981
SPD,Müller,Detlef,1964,Wahlkreis,Chemnitz,TRUE,MüllerD1964
CDU,Müller,Florian Matthias,1987,Wahlkreis,Olpe – Märkischer Kreis I,TRUE,MüllerF1987
SPD,Müller,Rainer Michael,1964,Wahlkreis,Berlin-Charlottenburg-Wilmersdorf,TRUE,MüllerR1964
GRÜNE,Müller,Sascha,1970,Liste,Bayern,TRUE,MüllerS1970
CDU,Müller,Sepp,1989,Wahlkreis,Dessau – Wittenberg,TRUE,MüllerS1989
CSU,Müller,Stefan,1975,Wahlkreis,Erlangen,TRUE,MüllerS1975
GRÜNE,Müller-Gemmeke,Beate,1960,Liste,Baden-Württemberg,TRUE,Müller-GemmekeB1960
FDP,Müller-Rosentritt,Frank,1982,Liste,Sachsen,TRUE,Müller-RosentrittF1982
SPD,Müntefering,Michelle-Jasmin Gabriele,1980,Wahlkreis,Herne – Bochum II,TRUE,MünteferingM1980
AfD,Münzenmaier,Sebastian,1989,Liste,Rheinland-Pfalz,TRUE,MünzenmaierS1989
SPD,Mützenich,Rolf Heinrich,1959,Wahlkreis,Köln III,TRUE,MützenichR1959
CDU,Nacke,Stefan,1976,Liste,Nordrhein-Westfalen,FALSE,NackeS1976
GRÜNE,Nanni,Sara,1987,Liste,Nordrhein-Westfalen,TRUE,NanniS1987
SPD,Nasr,Rasha,1992,Liste,Sachsen,TRUE,NasrR1992
DIE LINKE,Nastić,Zaklin Jadwiga,1980,Liste,Hamburg,TRUE,NastićZ1980
AfD,Naujok,Edgar,1960,Wahlkreis,Leipzig-Land,FALSE,NaujokE1960
GRÜNE,Nestle,Ingrid Johanna,1977,Liste,Schleswig-Holstein,TRUE,NestleI1977
GRÜNE,Nick,Ophelia Johanna,1973,Liste,Nordrhein-Westfalen,TRUE,NickO1973
SPD,Nickholz,Brian,1989,Wahlkreis,Recklinghausen II,TRUE,NickholzB1989
CDU,Nicolaisen,Petra,1965,Liste,Schleswig-Holstein,TRUE,NicolaisenP1965
SPD,Nietan,Dietmar Heinrich,1964,Liste,Nordrhein-Westfalen,FALSE,NietanD1964
AfD,Nolte,Jan Ralf,1988,Liste,Hessen,TRUE,NolteJ1988
GRÜNE,Notz,Konstantin,1971,Liste,Schleswig-Holstein,TRUE,NotzK1971
GRÜNE,Nouripour,Omid,1975,Wahlkreis,Frankfurt am Main II,TRUE,NouripourO1975
SPD,Nürnberger,Jörg Mathias,1967,Liste,Bayern,TRUE,NürnbergerJ1967
SPD,Oehl,Jan Lennard,1993,Wahlkreis,Hanau,TRUE,OehlJ1993
CDU,Oellers,Wilfried,1975,Wahlkreis,Heinsberg,TRUE,OellersW1975
CDU,Oppelt,Moritz Paul Georg,1989,Wahlkreis,Rhein-Neckar,FALSE,OppeltM1989
SPD,Ortleb,Josephine Loulou,1986,Wahlkreis,Saarbrücken,TRUE,OrtlebJ1986
CDU,Oster,Josef,1971,Wahlkreis,Koblenz,TRUE,OsterJ1971
CDU,Otte,Henning Rudolf Helmut,1968,Wahlkreis,Celle – Uelzen,TRUE,OtteH1968
GRÜNE,Otte,Karoline,1996,Liste,Niedersachsen,TRUE,OtteK1996
AfD,Otten,Gerold Joachim,1955,Liste,Bayern,TRUE,OttenG1955
CSU,Oßner,Florian,1980,Wahlkreis,Landshut,TRUE,OßnerF1980
GRÜNE,Pahlke,Julian Nils Christoph,1991,Liste,Niedersachsen,FALSE,PahlkeJ1991
SPD,Pantazis,Christos,1975,Wahlkreis,Braunschweig,TRUE,PantazisC1975
SPD,Papenbrock,Wiebke,1979,Wahlkreis,Prignitz – Ostprignitz-Ruppin – Havelland I,TRUE,PapenbrockW1979
SPD,Papendieck,Mathias,1982,Wahlkreis,Frankfurt (Oder) – Oder-Spree,TRUE,PapendieckM1982
DIE LINKE,Pau,Petra Angelika,1963,Liste,Berlin,TRUE,PauP1963
GRÜNE,Paus,Elisabeth Maria,1968,Liste,Berlin,TRUE,PausE1968
SPD,Pawlik,Natalie,1992,Wahlkreis,Wetterau I,TRUE,PawlikN1992
SPD,Peick,Jens,1981,Wahlkreis,Dortmund I,TRUE,PeickJ1981
DIE LINKE,Pellmann,Sören,1977,Wahlkreis,Leipzig II,TRUE,PellmannS1977
DIE LINKE,Perli,Victor Angelo,1982,Liste,Niedersachsen,TRUE,PerliV1982
AfD,Peterka,Tobias Matthias,1982,Liste,Bayern,TRUE,PeterkaT1982
SPD,Petry,Christian,1965,Wahlkreis,St. Wendel,FALSE,PetryC1965
SPD,Philippi,Andreas Milan Gerhard,1965,Wahlkreis,Göttingen,TRUE,PhilippiA1965
GRÜNE,Piechotta,Paula Louise,1986,Liste,Sachsen,TRUE,PiechottaP1986
CSU,Pilsinger,Stephan Nikolaus,1987,Wahlkreis,München-West/Mitte,FALSE,PilsingerS1987
SPD,Plobner,Jan Heinz Stefan,1992,Liste,Bayern,FALSE,PlobnerJ1992
CDU,Ploß,Christoph Johannes,1985,Liste,Hamburg,TRUE,PloßC1985
CDU,Plum,Martin,1982,Wahlkreis,Viersen,TRUE,PlumM1982
AfD,Pohl,Jürgen Hans,1964,Liste,Thüringen,FALSE,PohlJ1964
GRÜNE,Polat,Filiz,1978,Liste,Niedersachsen,TRUE,PolatF1978
SPD,Poschmann,Sabine,1968,Wahlkreis,Dortmund II,TRUE,PoschmannS1968
SPD,Post,Achim Jürgen,1959,Wahlkreis,Minden-Lübbecke I,TRUE,PostA1959
AfD,Protschka,Stephan,1977,Liste,Bayern,TRUE,ProtschkaS1977
CDU,Rachel,Thomas Walther,1962,Wahlkreis,Düren,TRUE,RachelT1962
CDU,Radomski,Kerstin Christiane,1974,Liste,Nordrhein-Westfalen,FALSE,RadomskiK1974
