Wahlkreisnummere,Nachname,Vorname,Name,Partei,Stimmenanteil,Bundesland,ausgeschieden
86,Dr. Lötzsch, Gesine,"Dr. Lötzsch, Gesine",DIE LINKE,25.8,Berlin,
56,Papenbrock, Wiebke,"Papenbrock, Wiebke",SPD,33,Brandenburg,
57,Zierke, Stefan,"Zierke, Stefan",SPD,29.6,Brandenburg,
58,Fäscher, Ariane,"Fäscher, Ariane",SPD,26.3,Brandenburg,
59,Koß, Simona,"Koß, Simona",SPD,24.8,Brandenburg,
60,Eichwede, Sonja Katharina,"Eichwede, Sonja Katharina",SPD,32.1,Brandenburg,
61,Scholz, Olaf,"Scholz, Olaf",SPD,34,Brandenburg,
62,Lehmann, Sylvia,"Lehmann, Sylvia",SPD,26.5,Brandenburg,
63,Papendieck, Mathias,"Papendieck, Mathias",SPD,28,Brandenburg,
64,Wallstein, Maja Scarlett,"Wallstein, Maja Scarlett",SPD,27.6,Brandenburg,
65,Walter, Hannes Artur Gerhard,"Walter, Hannes Artur Gerhard",SPD,25.4,Brandenburg,
54,Ryglewski, Sarah Janina,"Ryglewski, Sarah Janina",SPD,30.2,Bremen,
55,Schmidt, Uwe,"Schmidt, Uwe",SPD,36.9,Bremen,
18,Droßmann, Falko,"Droßmann, Falko",SPD,33.2,Hamburg,
19,Heitmann, Linda,"Heitmann, Linda",GRÜNE,29.7,Hamburg,
20,Dr. Steffen, Till Benjamin,"Dr. Steffen, Till Benjamin",GRÜNE,29.8,Hamburg,
21,Martin, Dorothee Katja Julia,"Martin, Dorothee Katja Julia",SPD,30.7,Hamburg,
22,Özoğuz, Saliha Aydan,"Özoğuz, Saliha Aydan",SPD,38.7,Hamburg,
23,Hakverdi, Metin,"Hakverdi, Metin",SPD,39.3,Hamburg,
167,Dilcher, Esther,"Dilcher, Esther",SPD,38,Hessen,
168,Gremmels, Timon (Mandat verzichtet),"Gremmels, Timon (Mandat verzichtet)",SPD,36.1,Hessen,
169,Roth, Michael,"Roth, Michael",SPD,43.7,Hessen,
170,Dr. Franke, Edgar Konrad Hartmut,"Dr. Franke, Edgar Konrad Hartmut",SPD,39.3,Hessen,
171,Bartol, Sören,"Bartol, Sören",SPD,36.9,Hessen,
172,Schmidt, Dagmar,"Schmidt, Dagmar",SPD,33.1,Hessen,
173,Döring, Felix Maximilian,"Döring, Felix Maximilian",SPD,30.4,Hessen,
174,Brand, Michael Karl,"Brand, Michael Karl",CDU,38.1,Hessen,
175,Müller, Bettina,"Müller, Bettina",SPD,30.5,Hessen,
176,Koob, Markus Benjamin,"Koob, Markus Benjamin",CDU,31.3,Hessen,
177,Pawlik, Natalie,"Pawlik, Natalie",SPD,29.7,Hessen,
178,Willsch, Klaus-Peter,"Willsch, Klaus-Peter",CDU,30.2,Hessen,
179,Jung, Ingmar Ludwig (Mandat verzichtet),"Jung, Ingmar Ludwig (Mandat verzichtet)",CDU,26.3,Hessen,
180,Oehl, Jan Lennard,"Oehl, Jan Lennard",SPD,31.1,Hessen,
181,Altenkamp, Norbert Maria,"Altenkamp, Norbert Maria",CDU,33.3,Hessen,
182,Zorn, Armand,"Zorn, Armand",SPD,29,Hessen,
183,Nouripour, Omid,"Nouripour, Omid",GRÜNE,29,Hessen,
184,Wegling, Melanie,"Wegling, Melanie",SPD,33.5,Hessen,
185,Simon, Björn Manuel,"Simon, Björn Manuel",CDU,27.8,Hessen,
186,Larem, Andreas,"Larem, Andreas",SPD,27.4,Hessen,
187,Dr. Zimmermann, Jens,"Dr. Zimmermann, Jens",SPD,32.3,Hessen,
188,Dr. Meister, Michael Günther,"Dr. Meister, Michael Günther",CDU,30.5,Hessen,
12,Alabali-Radovan, Reem,"Alabali-Radovan, Reem",SPD,29.4,Mecklenburg-Vorpommern,
13,Junge, Frank Michael,"Junge, Frank Michael",SPD,35.2,Mecklenburg-Vorpommern,
14,Zschau, Katrin,"Zschau, Katrin",SPD,27,Mecklenburg-Vorpommern,
15,Kassautzki, Anna Katharina,"Kassautzki, Anna Katharina",SPD,24.3,Mecklenburg-Vorpommern,
16,von Malottki, Erik,"von Malottki, Erik",SPD,24.8,Mecklenburg-Vorpommern,
17,Arlt, Johannes,"Arlt, Johannes",SPD,31.1,Mecklenburg-Vorpommern,
24,Saathoff, Johann,"Saathoff, Johann",SPD,52.8,Niedersachsen,
25,Connemann, Gitta,"Connemann, Gitta",CDU,44.4,Niedersachsen,
26,Möller, Siemtje Victoria Regine Ilse Santjer,"Möller, Siemtje Victoria Regine Ilse Santjer",SPD,45.4,Niedersachsen,
27,Rohde, Dennis,"Rohde, Dennis",SPD,38.2,Niedersachsen,
28,Mittag, Susanne,"Mittag, Susanne",SPD,36.7,Niedersachsen,
29,Schneider, Daniel Dominik,"Schneider, Daniel Dominik",SPD,36.8,Niedersachsen,
30,Grundmann, Oliver Klaus,"Grundmann, Oliver Klaus",CDU,34.6,Niedersachsen,
31,Stegemann, Albert,"Stegemann, Albert",CDU,40.5,Niedersachsen,
